date,hour,actual,projected
2025-05-27,18,17.668235,17.476
2025-05-27,19,16.112775,19.672
2025-05-27,20,17.79328,18.521
2025-05-27,21,21.124571,17.569
2025-05-27,22,23.274619,15.528
2025-05-27,23,20.464632,15.545
2025-05-27,24,18.735741,16.994
2025-05-28,1,16.639272,23.079
2025-05-28,2,21.331668,24.323
2025-05-28,3,20.104768,21.994
2025-05-28,4,19.010242,22.149
2025-05-28,5,22.360637,19.693
2025-05-28,6,24.861274,20.83
2025-05-28,7,25.02933,19.064
2025-05-28,8,23.494829,15.703
2025-05-28,9,18.503723,17.83
2025-05-28,10,16.946976,20.555
2025-05-28,11,22.006238,26.285
2025-05-28,12,21.959574,27.525
2025-05-28,13,21.611519,28.137
2025-05-28,14,23.600616,28.215
2025-05-28,15,23.279608,27.134
2025-05-28,16,17.661357,24.511
2025-05-28,17,14.304962,24.134
2025-05-28,18,10.81186,22.624
2025-05-28,19,9.620543,21.793
2025-05-28,20,10.688394,19.405
2025-05-28,21,7.648128,15.922
2025-05-28,22,5.022464,13.416
2025-05-28,23,3.426368,15.092
